Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1400-1499,"1417 - Siena, Tuscany (Italy)","No specific site/structure cited by MiracleHunter — not trackable as a database site (claim is tied to St. Bernardino generally, not a named structure)",,
1400-1499,"Jan 3, 1417 - Albano Sant'Allessandro, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate bf4e6140-7a5f-4865-9236-acccc9d91868,
1400-1499,"July 2, 1420 - Castel di Godego (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f54498eb-7f26-4a7e-b700-69fbd9d1fae8,
1400-1499,"Sept 8, 1420 - Cordoba (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4165e65e-92dc-4da9-9faa-03c177ed7cba,
1400-1499,"1420 - Faenza, Emilia Romagna (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 25d3b7aa-939d-4407-93ce-c3e1b6ef63ae,
1400-1499,1422 - Cesi (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4a1aed38-b77a-40fe-9933-5544022ddb91,
1400-1499,1424 - Domremy (France),"Approved, in sites (no MiracleHunter link added — MH's own text names no structure or location beyond the visionary's name; a MiracleHunter link was mistakenly added to all three related sites this pass and then retracted on review)",https://orbisdei.org/site/fr-domremy-la-pucelle-basilica-of-bois-chenu-basilica-of-st-joan-of-arc,"joan-arc, michael-archangel"
1400-1499,"March 7,1426 - Monte Berico (Italy)",Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate b2854cff-79f6-47c4-a291-88416d6c79d9,
1400-1499,May 1428 - Monteortone (Italy),Not previously ingested — written as new lead this pass,research_findings candidate 31c71950-7ce8-423f-8adf-fc33f48085f8,
1400-1499,"May 20, 1428 - Stia (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 705167fc-694a-4721-bf99-dd7f68555d63,
1400-1499,1429 - Penafrancia (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 0554454d-8ea0-4906-bfa1-d08bfa8168a5,
1400-1499,"1430 - Jaén, Andalucia (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a4ead917-3e24-46ec-a5f0-d557c44084e8,
1400-1499,"May 26, 1432 - Caravaggio, Lombardy (Italy)",Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate ad561c82-2c8f-4705-8a1a-48179f631ee2,
1400-1499,1433 - Ancona (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate acd8959a-8e80-40dc-bc2b-70bf73af9be2,
1400-1499,1438 - Bologna (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded a975c748-9090-45d4-bda3-6d0c334fa8fd,
1400-1499,1440 - Rome (Italy) - Frances Ponziani,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8ddeadf4-968d-4c2c-be80-2b3273772d55,
1400-1499,"Oct 9, 1440 - Desenzano al Serio, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7f422ea8-f7e8-4d0c-90ef-ec4a5fd5d402,
1400-1499,1440 - Maria Fallsbach (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 328361d8-427e-4caf-9b46-4324d7a5a7cb,
1400-1499,1443 - Fez (Morocco),Excluded — no locatable site identified (marian-sites tag and MiracleHunter link added this pass — both missing),research_findings excluded b73e3193-ab22-4cac-bb4c-4e9b6d3a885d,
1400-1499,1443 - Madrid (Spain) - Blessed Beatrice of Silva,"Excluded — no locatable site identified (tag and link added this pass; her real documented sites are Tordesillas and Toledo, not Madrid)",research_findings excluded b61f5483-8c30-4ce2-be63-85c7c55a7124,
1400-1499,1446 - Fiesole (Italy),"Excluded — no locatable site identified (link added this pass; distinct from the real, published 1328 Andrew Corsini Fiesole tradition on the 1300-1399 page)",research_findings excluded e0700fea-a65c-452b-b2e8-6c6017be2302,
1400-1499,"1447 - Saluzzo, Piedmont (Italy)",Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded 4930503c-d34d-48f9-9a4e-16fd491ba568,
1400-1499,Betharram Pyrenees (France) [undated entry],Queued for approval (MiracleHunter link added this pass — was missing; same site as the ca. 1450 Betharram entry below),research_findings candidate 03849be2-5b8a-4d11-8e47-4512f794b3a4,
1400-1499,"Mar 3, 1449 - Cubas de la Sagra (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 60bd6b77-2b7a-4595-8345-688b33ef7c13,
1400-1499,"March 3-19, 1449 - Madrid (Spain) - Inés Martinez",Queued for approval (same site/tradition as the Cubas de la Sagra entry above — Inés Martinez's convent),research_findings candidate 60bd6b77-2b7a-4595-8345-688b33ef7c13,
1400-1499,1449 - Anderlecht (Belgium),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9584ff9b-003e-4d9b-b52e-fed308d2f170,
1400-1499,1450 - Bologna (Italy) - St. Catherine Vigri,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 99791930-11dd-4704-9d78-48cb57cb68db,
1400-1499,ca. 1450 - Betharram (France) [second listing],Queued for approval (same site as the earlier undated Betharram entry on this page — duplicate tradition),research_findings candidate 03849be2-5b8a-4d11-8e47-4512f794b3a4,
1400-1499,Trani (Italy) [undated entry],Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate 650dd079-b753-4232-8a33-cc838548de17,
1400-1499,Matraverebély-Szentkist (Hungary) [undated entry],Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate d40db578-e8c7-4468-966c-45db7e97026f,
1400-1499,Florence (Italy) [undated entry] - St. Pierozzi Anthony,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b9da26e9-f19d-404b-a1ec-0ac380b5a3a6,
1400-1499,late 15th century - Graffignano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 03db5fc0-f3bb-4acc-a768-95d625002df5,
1400-1499,"Aug 14, 1453 - Ghisalba (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8c2f4ba3-e4bd-46f4-9408-9aa5230130d7,
1400-1499,1457 - Milan (Italy) - St. Veronica de Binasco,"Queued for approval (MiracleHunter link added this pass — was missing; MiracleHunter's ""Milan"" refers to the nearby town of Binasco, her documented parish)",research_findings candidate abcd5e34-c77b-4702-9f66-fb37d81b2a38,
1400-1499,1460 - Loreto (Italy) - Holy House of Mary,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate d52bf222-67b3-4cb1-afb9-6971e8ecb513,
1400-1499,"April 3,1460 - Crema, Cremona, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ea76739f-30d2-4bce-9fe7-1580ad1b9971,
1400-1499,"May 8, 1460 - Saronno (Italy)",Not previously ingested — written as new lead this pass,research_findings candidate 28ad9bea-7dd9-4a2b-81d1-b8ab99bcf59c,
1400-1499,1464 - Brescia (Italy) - Blessed Stephana de Quinzanis,"Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing; real documented site is the Church of San Giacomo, Soncino, where she later lived — MiracleHunter's ""Brescia"" is her birthplace)",research_findings candidate 45f37ee1-968c-46d0-a61e-7d22b9359812,
1400-1499,Sept 1465 - Garlasco (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 6b4539de-81b3-4cb5-bd28-d047f97899bd,
1400-1499,October 1465 - Paris (France) - Bl. Alan de Rupe,Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded 094cd748-e3d0-4d9b-8003-ad4b7d645049,
1400-1499,Sept 1468 - Ospedaletto Euganeo (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 13b30918-1058-4c3b-b2b6-fe8759965fe1,
1400-1499,November 1470 - Badia di Cava (Italy) - Gabrielle Cinnamo,"Queued for approval (MiracleHunter link added this pass — was missing; same Sanctuary of Maria SS. Avvocata tradition as the Nov 1485 ""Cava"" and April 1490 ""Cava de' Tirreni"" entries below)",research_findings candidate 9e5f5842-de6c-4752-bfb5-a79b54e7d99a,
1400-1499,1471 - Lignières (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1e91d2b3-3c5f-4da2-8efd-e507793ba3fb,
1400-1499,1471 - Krakow (Poland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e1106dae-aff6-4cff-9a76-0ead049b4281,
1400-1499,Aug 1479 - Mogliano Veneto (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e3206331-3d6e-46e3-92ca-36c3efdd8630,
1400-1499,"May 18, 1480 - Canzano (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 39ce961f-65fe-44fb-881b-13bf7d039161,
1400-1499,"July 16, 1480 - Boccadirio (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e80c507a-a8dd-4790-94a7-e79e56e931ce,
1400-1499,c. 1480 - Rome (Italy) - Bl. Amadeo Mendez da Silva,Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded 40c40a65-1e20-4148-bf56-2f32cd1d8918,
1400-1499,"March 27, 1483 - Imola (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1a471db0-63d6-442d-9d3f-7daddb002c55,
1400-1499,1484 - 90 - Sasso (Italy) - The Ricovera sisters,Not previously ingested — written as new lead this pass,research_findings candidate aabe123f-ed69-4816-a412-d82e64678c14,
1400-1499,"August 15, 1484 - Lepe, Huelva, Andalucía (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b36b8236-e06b-4f43-b69d-36ba59d3bc25,
1400-1499,November 1485 - Cava (Italy) - Gabriel Cinnamo / Friar John of Naples,"Queued for approval (MiracleHunter link added this pass — was missing; same Sanctuary of Maria SS. Avvocata tradition as the Nov 1470 ""Badia di Cava"" and April 1490 ""Cava de' Tirreni"" entries)",research_findings candidate 9e5f5842-de6c-4752-bfb5-a79b54e7d99a,
1400-1499,"1487 - Our Lady of Light (Liébana, Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7d29dd58-af61-4f3b-8e45-e79fd89b4bc9,
1400-1499,"1490 - Alaexos, Castiglia (Spain)","Queued for approval (MiracleHunter link added this pass — was missing; same site as the undated ""Alexos, Castile"" entry below)",research_findings candidate e2ea5b63-8b90-4006-979a-410f40a4c184,
1400-1499,"April 3, 1490 - Cava de' Tirreni, Salerno, Campania (Italy) - Madonna dell'Avvocata",Queued for approval (MiracleHunter link added this pass — was missing; same Sanctuary of Maria SS. Avvocata tradition as the 1470/1485 Cava entries above),research_findings candidate 9e5f5842-de6c-4752-bfb5-a79b54e7d99a,
1400-1499,"Aug 29, 1490 - Monte Figogna, Liguria (Italy)",Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate 4caf99ee-cb5d-4c4c-8f45-c407ca6b846f,
1400-1499,1491 - Trois-Epis (France),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 0fbd5b31-e341-4e91-bc90-f90e9d94ab00,
1400-1499,"October 10, 1492 - Gallivaggio (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 2cecffbd-513f-4cbf-bec5-644ef6fcdb10,
1400-1499,"July 16, 1493 - Raccogni (Italy)","Queued for approval (MiracleHunter link added this pass — was missing; real place name is Racconigi, Cuneo — MiracleHunter's own spelling is garbled)",research_findings candidate e712f178-6a8a-4fa9-a749-45f1e728daf7,
1400-1499,"July 17, 1494 - Balze di Vergereto (Italy)",Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded a1033993-61fa-4ec0-8087-dc07d25fac22,
1400-1499,May 23 [1480] - Rhodes (Greece),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 99f5d511-80a2-4d46-a028-2bf51869f16f,
1400-1499,Locarno (Switzerland) [undated entry] - Madonna del Sasso,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 1f53fba6-e209-4a55-b73a-39f67a9b44d1,
1400-1499,"Alexos, Castile (Spain) [undated entry] - Nuestra Senora de la Casita","Queued for approval (MiracleHunter link added this pass — was missing; same site as the 1490 ""Alaexos, Castiglia"" entry above)",research_findings candidate e2ea5b63-8b90-4006-979a-410f40a4c184,
1400-1499,1496 - Azagna (Spain) - Joan Nasquez of the Cross,Queued for approval (same visionary — Bl. Juana de la Cruz — and site as the 1449 Cubas de la Sagra entries above; Azagna itself has no separate structure),research_findings candidate 60bd6b77-2b7a-4595-8345-688b33ef7c13,
1400-1499,"July 23, 1496 - Monte Altino (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c1c0e383-c52f-4a52-8d24-25d1ad3f69cf,
1500-1599,"c. 1500 - Almonacid de Toledo, Castiglia (Spain)",Excluded — no locatable site identified,research_findings excluded 67f1bdec-7d7f-4413-9818-198203e53743,
1500-1599,"c. 1500 - Dolní Dvonste, Cesky Krumlov, South Bohemia (Czech Republic)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8a86bd7d-dd35-4c1b-8e26-5074241e2d8b,
1500-1599,c. 1500 - Vedano al Lambro (Italy),"Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; entry's own ""More about this apparition"" link uses slug ""valverde"")",research_findings candidate c652c80b-cd9e-46bf-8b72-124c645615d6,
1500-1599,c.1500 - Pannesi di Lumarzo (Italy),Excluded — no locatable site identified,research_findings excluded df7454ba-b0b1-4b9d-ab68-1286702c4cb6,
1500-1599,1500 - San Sosti (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f26dec0e-4038-4bb4-82fd-6fb5a84c182d,
1500-1599,1500 - Wethenstein (Switzerland),"Queued for approval (MiracleHunter link added this pass — was missing; same site as the 1518 and 1553 ""Wethenstein"" entries below, one physical site/candidate, three MiracleHunter rows)",research_findings candidate ed0df07c-10cb-41eb-9df2-c5280d2dc0d9,
1500-1599,"Dec 18, 1503 - Villarrasa, Huelva, Andalucia (Spain)",Excluded — no locatable site identified,research_findings excluded e97009db-3fd8-421a-92f3-9298d1026679,
1500-1599,1503 - Trino (Italy),Excluded — no locatable site identified,research_findings excluded 16e39da1-84b3-4370-83f2-3a2a428dfe9d,maddalena-panattieri
1500-1599,"Sept 29, 1504 - Tirano (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 2b6ca0c1-b369-4467-b899-8b0542755627,
1500-1599,"June 9, 1505 - San Polo (Italy)",Excluded — no locatable site identified,research_findings excluded e8c486bd-b17f-4f32-bdec-0ef9156c3579,
1500-1599,"July 2, 1505 - León, Castile and León (Spain)","Queued for approval (MiracleHunter link added this pass — was missing; matched via basilica's dedication title ""Virgen del Camino,"" not the place name)",research_findings candidate e77a3924-b865-4881-bc91-a6ffe2e9ed10,
1500-1599,1508 - Chiogga (Italy),Excluded — no locatable site identified,research_findings excluded 54fb3036-988d-4175-a40b-01b6304a19e7,
1500-1599,"March 19, 1509 - Villefranche-de-Rouergue, Aveyron (France)",Excluded — no locatable site identified,research_findings excluded 0b53eb0e-0834-4813-b2b9-9af0ed5ac301,
1500-1599,"March 9, 1510 - Motto di Livenza (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4c7da806-e330-4505-a1f3-697ebc47187f,
1500-1599,"April 28, 1510 - Bergamo (Italy)","Queued for approval (cross-page duplicate: same candidate record already cited on the 1300-1399 CSV as the 1310 Bergamo/Madonna del Castagno entry, which carries the MiracleHunter link)",research_findings candidate 28b9eae2-6e95-4900-b762-416c62954d47,
1500-1599,"Sept 8, 1510 - Aviano (Italy)",Excluded — no locatable site identified,research_findings excluded 543b6d36-59ec-4adc-a9da-3ae35644e43f,
1500-1599,"May 1511 - Castelleone, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3f5d599f-3436-40a7-b5ea-2d2be216904b,
1500-1599,1511 - Treviso (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c72c272e-4e63-44ce-aefd-78c9029a72f2,jerome-emiliani
1500-1599,1512 - Albendorf (Poland),"Queued for approval (cross-page duplicate: MiracleHunter's own 1200-1299 page also lists an ""Albendorf"" entry — same Wambierzyce candidate, already MiracleHunter-linked from an earlier pass)",research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1500-1599,"July 2, 1512 - Oneta (Italy)",Excluded — no locatable site identified,research_findings excluded af539b22-7af0-49f7-a8ff-092ccf46c1ce,
1500-1599,"Aug 14, 1512 - Strugnano (Italy)",Excluded — no locatable site identified,research_findings excluded 160a0dcf-6115-434d-a2ae-e7c4b067dfbc,
1500-1599,"April 12, 1514 - Liveri di Nola (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 69069a24-3c35-485b-aec5-cd4ffef9d732,
1500-1599,1515 - Garaison (France),Queued for approval,research_findings candidate 373ee078-af13-4c7a-a30b-bd707b13511e,
1500-1599,"Dec 25, 1516 - Rome (Italy)",Excluded — no locatable site identified,research_findings excluded e1f6af91-3ad8-49be-907c-2323e64e70ac,cajetan-thiene
1500-1599,1518 - Wethenstein (Switzerland),"Queued for approval (same site as the 1500 entry above — one candidate record, one row each per page convention)",research_findings candidate ed0df07c-10cb-41eb-9df2-c5280d2dc0d9,
1500-1599,"July 2, 1518 - Camogli (Liguria, diocese of Genoa, Italy)",Queued for approval,research_findings candidate 5ea7d5d8-ff16-4f6b-a180-3928dbcc31b8,
1500-1599,"July 8, 1519 - Adro, Brescia (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fc256c4b-1e47-4440-983f-2323ea39a67a,
1500-1599,"August 10, 1519 - Catignac, Mont Vardaille (France)",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; entry names Cotignac in its own text),research_findings candidate 0d965ccd-e23c-4613-a831-3640b0b4290e,
1500-1599,1520 - Aberdeen (Scotland),Excluded — no locatable site identified,research_findings excluded 1a76c4c9-043c-4464-a114-66be38fdd933,
1500-1599,1520 - Tarbes (France),Excluded — no locatable site identified,research_findings excluded 940249eb-7b69-478b-a86c-a3ba0dc2a17c,
1500-1599,"May 4, 1521 - Cori (LT) (Italia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b6ab8a5e-6e80-4508-8146-5b6778364300,
1500-1599,1522 - Manresa (Spain),"Approved, in sites (marian-sites tag and MiracleHunter link both added this pass — were missing; site was tagged only ignatius-loyola)",https://orbisdei.org/site/es-manresa-cave-of-st-ignatius,ignatius-loyola
1500-1599,1523 - Quintanar de la Orden (Spain),Excluded — no locatable site identified,research_findings excluded 8e63ee14-8d72-4d4a-abcb-610527b09a2a,
1500-1599,"May 22, 1527 - Bovegno (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b81ba805-85f2-4879-af73-5f34bf6dcb98,
1500-1599,1529 - Sens (France),Excluded — no locatable site identified,research_findings excluded 256b4523-c229-42f4-addf-1a3bdf4ba496,
1500-1599,"Oct 11 and 23, 1529 - Gubel (Switzerland)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 73a55b3e-2180-4b55-9edf-2e42526709b5,
1500-1599,June 1529 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 36cb66c4-36b3-4481-a409-e6c25318b5c6,
1500-1599,1531 - Guadalupe (Mexico),"Approved, in sites",https://orbisdei.org/site/mx-mexico-city-basilica-of-our-lady-of-guadalupe,"holy-persons, juan-diego"
1500-1599,"May 18, 1531 - Wesemlin, Lucerne (Switzerland)",Queued for approval,research_findings candidate 0500a565-9e84-45c1-aea5-0e6233f545dd,
1500-1599,Aug 1532 - Paitone (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ae593484-6090-4eca-9173-543a52206e8b,
1500-1599,1527 or 1532 - Ipswich (England),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 41ab5c31-83bc-48d7-b49c-02669aea8a68,
1500-1599,1535 - Peru,No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1500-1599,"1535 - Altkirch, Alazia (France)","Not previously ingested — written as new lead this pass (lower confidence — MiracleHunter's own text names no discrete structure beyond ""the bastion of the city""; a Fontaine de la Vierge monument in the town center commemorates a Marian tradition, but its link to this specific 1535 claim could not be independently confirmed. Flagged for review.)",research_findings lead f35ed74f-aa09-4093-a7f4-d16a909d7973,
1500-1599,"March 16, 1536 - Savona (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c03f840c-31aa-4cf7-a293-5abfa3ae1b63,
1500-1599,"May 23, 1536 - Cuzco (Peru)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ae7cf3f3-be26-417f-b36e-8d1d5b17cbae,
1500-1599,"May 31, 1536 - Monte Stella (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 95917e3e-822e-4769-9891-c0d145e136f3,
1500-1599,"July 11, 1536 - Combarbio (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b87aa442-d03d-47b0-8d40-a4ee2d683085,
1500-1599,"May 20, 1537 - Farigliano, Cuneo, Piedmont (Italy)",Excluded — no locatable site identified,research_findings excluded 8586893b-9630-41b3-b7a4-efe308224f9b,
1500-1599,Spring 1539 - Sveta Gora (Slovenia),"Approved, in sites (stale duplicate research_findings candidate row marked duplicate this pass, pointing here)",https://orbisdei.org/site/si-solkan-basilica-of-the-holy-mother-of-god-sveta-gora,
1500-1599,"1539 - Gorizia, Fruili (Italy)","Approved, in sites (same apparition as the ""Spring 1539 Sveta Gora"" entry above — same shepherdess and message, cross-referenced within this page, no new work; Sveta Gora sits in the historic Gorizia district)",https://orbisdei.org/site/si-solkan-basilica-of-the-holy-mother-of-god-sveta-gora,
1500-1599,1541 - Ocotlan (Mexico),"Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; a duplicate candidate row for the same shrine — Sanctuary of Our Lady of Ocotlán, id 438e73f5 — was found and marked duplicate this pass, pointing here)",research_findings candidate c251a2ee-9b55-422d-a21b-bd2d24c8ac83,
1500-1599,1543 - Lowen (Belgium),Excluded — no locatable site identified,research_findings excluded 2906b1cb-e58f-4464-b2b6-4fd811657140,
1500-1599,"March 28, 1543 - Ameno (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 54db80b7-6757-463e-a279-0404bae2caef,
1500-1599,May 1543 - Cantu' (Italy),Excluded — no locatable site identified,research_findings excluded add48152-35ba-47b2-8f19-cbd393d956fe,
1500-1599,1544 - Andacollo (Chile),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e2a4dc1f-9f82-40c5-ba91-90e2cbd70e20,
1500-1599,"June 25, 1548 - Montegridolfo, Rimini, Emilia-Romagna (Italy)",Excluded — no locatable site identified,research_findings excluded 7150230e-6a14-474d-80b8-d1fc73d6dd8b,
1500-1599,"February 22, 1550 - Castel San Pietro Terme, Bologna, Emilia Romagna (Italy)","Queued for approval (MiracleHunter link added this pass — was missing; duplicate of the ""Feb 22, 1550 Castel San Pietro"" entry further below — one candidate record, two MiracleHunter rows)",research_findings candidate 7474e461-0a0f-4b16-8588-2b7db8618e8f,
1500-1599,1553 - Wethenstein (Switzerland),"Queued for approval (MiracleHunter link added this pass — was missing; corrected match: this row's own detail text is a different shrine from the 1500/1518 ""Wethenstein"" entries above -- Maria Weissenstein / Pietralba, Nova Ponente, South Tyrol, Italy -- despite the same misleading place-name label MiracleHunter gives all three rows)",research_findings candidate 8b40714f-f954-4950-929c-4a016abf5c6e,
1500-1599,"July 2, 1557 - Rapallo (Italy)","Not previously ingested — written as new lead this pass (within-page duplicate of the ""July 2, 1557 Rapallo - OR - Montallegro (Sicily)"" entry further below — same apparition, one lead written)",research_findings lead 39462550-2f60-4bb0-bc33-1467fd05d096,
1500-1599,"March 25, 1560 - Fronville (France)",Not previously ingested — written as new lead this pass,research_findings lead c74bd2c4-00ce-4b4b-a568-c415f0379a57,
1500-1599,1550 - Vailankanni (India),"Approved, in sites",https://orbisdei.org/site/in-velankanni-basilica-of-our-lady-of-good-health,
1500-1599,"Feb 22, 1550 - Castel San Pietro (Italy)","Queued for approval (duplicate of the ""February 22, 1550 Castel San Pietro Terme"" entry above — same candidate record)",research_findings candidate 7474e461-0a0f-4b16-8588-2b7db8618e8f,
1500-1599,"Sept 8, 1550 - Azay-on-Thouet (France)",Not previously ingested — written as new lead this pass,research_findings lead a26f27e4-ef35-4f46-b1bc-0a4f299fdaf9,
1500-1599,"April 17, 1555 - Corbetta (Italy)",Not previously ingested — written as new lead this pass,research_findings lead c75bfc84-7892-4096-ac50-cdc05922788d,
1500-1599,1556 - Civitella (Italy),No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1500-1599,"May 21, 1556 - Arcola (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 19699276-68a1-4a8f-8bb7-3dfd0b55e983,
1500-1599,"Apr 22, 1557 - Guilianova (Italy)",Not previously ingested — written as new lead this pass,research_findings lead d7463f00-d922-42da-b6c8-f8b639c658f2,
1500-1599,"July 2, 1557 - Rapallo (Italy) - OR - Montallegro (Sicily)","Not previously ingested — written as new lead this pass (within-page duplicate of the ""July 2, 1557 Rapallo"" entry above — same apparition, same lead)",research_findings lead 39462550-2f60-4bb0-bc33-1467fd05d096,
1500-1599,1557 - Brescia (Lombardy),Excluded — no locatable site identified,research_findings excluded 86d095e8-6db5-477f-ad21-75d3d1477620,
1500-1599,"July 1, 1558 - Gerosa (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 50195650-cb91-4664-819a-f4c1a74238a5,
1500-1599,1560 - Cordoba (Spain),Excluded — no locatable site identified,research_findings excluded dca8a71d-e49f-42e0-8f75-8bd60bf2de86,
1500-1599,"May 31, 1562 - Petrella (Italy)",Excluded — no locatable site identified,research_findings excluded 320417ca-fc77-45c6-966a-b141841dc72e,
1500-1599,"June 26, 1562 - Moncrivello (Italy)",Excluded — no locatable site identified,research_findings excluded c664df69-e831-4792-98b6-09b59c8f6050,
1500-1599,1562 - Arenas (Spain),Excluded — no locatable site identified,research_findings excluded f8288ae4-dd53-4ad8-a531-86de1909d785,peter-alcantara
1500-1599,1563 - Avila (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fcd3b6d3-9b49-4410-ab43-2b0a152bd958,teresa-avila
1500-1599,1564 - Torrehermosa (Spain),Excluded — no locatable site identified,research_findings excluded 1a0d6c6d-373c-4f38-88d8-72ac8ecd99a6,paschal-baylon
1500-1599,"1566 - Forli, Emilia Romagna (Italy)",Excluded — no locatable site identified,research_findings excluded 45b9074a-c9a0-4979-b5b4-f35256001592,
1500-1599,1567 - Vienna (Austria),Excluded — no locatable site identified,research_findings excluded 9c5bf3aa-3835-467f-93af-a78f0d8c1fa4,stanislaus-kostka
1500-1599,1570 - Pistoia (Tuscany),Excluded — no locatable site identified,research_findings excluded 164735a5-4d1c-4b3a-9504-2192e2b9fcd3,
1500-1599,"April 7, 1569 - Tauste, Zaragoza (Spain)",Excluded — no locatable site identified,research_findings excluded b549a809-4065-4f12-b512-a263a9d67b30,
1500-1599,1570 - Trujillo (Venezuela),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 202405c2-63e3-4e74-9922-c42da06a87aa,
1500-1599,"Aug 15, 1572 - Caltagirone (Italy)",Excluded — no locatable site identified,research_findings excluded ae420b9b-cf12-44b6-ae21-c80e062f2221,
1500-1599,"Jun 9, 1573 - Monsummano Terme (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 86573423-2839-4324-b47f-653ebedac842,
1500-1599,May 1574 - Casalpusterlengo (Italy),Excluded — no locatable site identified,research_findings excluded dafa5f90-54ce-4832-a2b8-1b93f899d8fd,
